Entity,Continent,Gender,Mean BMI 2000,Mean BMI 2004,Mean BMI 2008,Mean BMI 2012,Mean BMI 2016
Iraq,Asia,Female,28.12026822,28.42836321,28.84209559,29.3091987,29.81370852
Ireland,Europe,Male,26.90113835,27.20960809,27.56854226,27.84052478,28.04430241
Ireland,Europe,Female,25.9935423,26.30399667,26.64002691,26.91199955,27.14590911
Israel,Asia,Male,26.2357679,26.57476864,27.0200458,27.40041712,27.74111499
Israel,Asia,Female,26.36475377,26.56846262,26.79605032,26.96620457,27.09389731
Italy,Europe,Male,26.12721843,26.36282806,26.59870306,26.67785406,26.65554418
Italy,Europe,Female,24.94322858,25.01043919,25.04672495,25.00323561,24.88883559
Jamaica,North America,Male,23.95919286,24.33491335,24.84128241,25.34798344,25.85155025
Jamaica,North America,Female,27.24685306,27.75432764,28.40844243,29.05450069,29.70386717
Japan,Asia,Male,23.06317363,23.20063454,23.39285145,23.54498057,23.65673215
Japan,Asia,Female,22.02227681,22.00460152,21.99678752,21.95001801,21.85462817
Jordan,Asia,Male,26.85978303,27.14716004,27.53192358,27.96111279,28.39733058
Jordan,Asia,Female,29.37303774,29.52517004,29.67393321,29.84745846,30.0387267
Kazakhstan,Asia,Male,25.20962444,25.40328341,25.69586585,26.03484148,26.39460399
Kazakhstan,Asia,Female,26.22352295,26.30098337,26.3925023,26.49893612,26.63026856
Kenya,Africa,Male,21.3879485,21.57872103,21.80441957,21.99250109,22.1780619
Kenya,Africa,Female,22.64457913,23.02123521,23.50438803,23.98228104,24.4685678
Kiribati,Oceania,Male,28.31342414,28.4971573,28.69800588,28.89545053,29.11343124
Kiribati,Oceania,Female,29.35012336,29.82276338,30.32959892,30.76610771,31.19596422
Kuwait,Asia,Male,27.65723527,27.91440527,28.25584078,28.6505317,29.08421368
Kuwait,Asia,Female,29.93359048,30.09469051,30.26294924,30.43125679,30.613244
Kyrgyzstan,Asia,Male,24.5806903,24.81031166,25.17206215,25.59032962,26.02755189
Kyrgyzstan,Asia,Female,25.12395771,25.52163634,26.07474843,26.66270747,27.27739439
Laos,Asia,Male,20.93843334,21.24538023,21.69259879,22.16722206,22.66914386
Laos,Asia,Female,21.3061304,21.6505732,22.11696201,22.60313953,23.09102292
Latvia,Europe,Male,25.71328149,26.00129171,26.40321921,26.76373396,27.10745356
Latvia,Europe,Female,25.66850022,25.84657139,26.07212339,26.2510735,26.41094632
Lebanon,Asia,Male,26.44767647,26.74213186,27.13562394,27.56703104,28.01263058
Lebanon,Asia,Female,26.62727327,26.83170389,27.06450174,27.31417675,27.57999447
Lesotho,Africa,Male,21.59530603,21.84321035,22.17888031,22.47260737,22.74478919
Lesotho,Africa,Female,26.16756188,26.3784341,26.64301123,26.87640084,27.08541739
Liberia,Africa,Male,22.93354995,23.06533157,23.22337078,23.25526667,23.18944146
Liberia,Africa,Female,23.20456234,23.57379505,24.10852702,24.61821643,25.08513957
Libya,Africa,Male,25.97855921,26.16520036,26.40359746,26.67948851,26.97740739
Libya,Africa,Female,28.40925999,28.63230637,28.89817627,29.1846358,29.4889323
Lithuania,Europe,Male,26.13244116,26.33411331,26.63069393,26.89992044,27.15383776
Lithuania,Europe,Female,26.16773997,26.16840579,26.16582758,26.12850919,26.07351097
Luxembourg,Europe,Male,26.22599759,26.48896476,26.80731877,27.04110241,27.20635551
Luxembourg,Europe,Female,25.24519173,25.38349946,25.53801283,25.65154548,25.73596913
Madagascar,Africa,Male,20.83110452,20.98377772,21.1712458,21.34802679,21.531647
Madagascar,Africa,Female,20.51078957,20.64677013,20.79771797,20.94972463,21.10766375
Malawi,Africa,Male,21.53583343,21.77107304,22.05385567,22.29488663,22.53632451
Malawi,Africa,Female,21.988064,22.26259921,22.58727018,22.88810407,23.19040869
Malaysia,Asia,Male,23.61284686,23.97716993,24.43819478,24.86697157,25.29432954
Malaysia,Asia,Female,24.28951206,24.68533306,25.18250665,25.68074698,26.18244383
Maldives,Asia,Male,22.48076161,22.85048001,23.42607843,24.04690022,24.68409528
Maldives,Asia,Female,24.26374043,24.65002074,25.21543231,25.81824201,26.41361969
Mali,Africa,Male,21.64198752,21.96482858,22.37096496,22.68619339,22.93814775
Mali,Africa,Female,21.5044058,21.92466825,22.4106229,22.79269585,23.10811372
Malta,Europe,Male,27.26898609,27.49197397,27.73824469,27.87470211,27.93964227
Malta,Europe,Female,26.92884591,26.94757798,26.91297693,26.80567622,26.6409602
Marshall Islands,Oceania,Male,28.52463357,28.59657945,28.71217362,28.8613693,29.0327298
Marshall Islands,Oceania,Female,30.0872937,30.23796734,30.39151302,30.5186004,30.63869652
Mauritania,Africa,Male,22.3444058,22.62362996,22.95252959,23.17792955,23.3325681
Mauritania,Africa,Female,25.2055842,25.59997798,26.04685663,26.39805055,26.68662555
Mauritius,Africa,Male,24.01131136,24.17902109,24.36216383,24.50084915,24.63542765
Mauritius,Africa,Female,25.17252743,25.35791415,25.57413372,25.78264114,26.00909364
Mexico,North America,Male,26.46993867,26.72475012,27.02258128,27.29587229,27.56749763
Mexico,North America,Female,27.22701965,27.54923271,27.88722989,28.19633744,28.51446269
Moldova,Europe,Male,25.32054925,25.60751982,25.99893863,26.35018444,26.6924838
Moldova,Europe,Female,26.70002729,26.9088055,27.15851669,27.35659577,27.53849435
Mongolia,Asia,Male,23.94021434,24.22360401,24.72602444,25.31464669,25.90569314
Mongolia,Asia,Female,24.95073182,25.2384837,25.68921845,26.17727221,26.6551891
Montenegro,Europe,Male,25.59326215,25.90865328,26.32410407,26.69687467,27.07576197
Montenegro,Europe,Female,25.2206969,25.45419277,25.75073044,26.0040499,26.23939111
Morocco,Africa,Male,24.06522729,24.31804355,24.6564573,25.04673147,25.45877178
Morocco,Africa,Female,25.40673944,25.65934349,25.9571277,26.27860125,26.61139889
Mozambique,Africa,Male,21.10361629,21.30375487,21.55046682,21.77435917,22.00762231
Mozambique,Africa,Female,22.01983611,22.31252279,22.6725482,23.02952503,23.40543528
